category,PM2.5 1,PM2.5 2
2023-06-26T03:25:00.000Z,8,8
2023-06-26T03:27:00.000Z,6,7
2023-06-26T03:29:00.000Z,5,6
2023-06-26T03:31:00.000Z,5,9
2023-06-26T03:33:00.000Z,6,6
2023-06-26T03:35:00.000Z,7,6
2023-06-26T03:37:00.000Z,6,7
2023-06-26T03:39:00.000Z,6,6
2023-06-26T03:41:00.000Z,4,8
2023-06-26T03:42:00.000Z,6,6
2023-06-26T03:44:00.000Z,6,7
2023-06-26T03:46:00.000Z,7,8
2023-06-26T03:48:00.000Z,6,6
2023-06-26T03:52:00.000Z,8,5
2023-06-26T03:54:00.000Z,5,6
2023-06-26T03:56:00.000Z,5,5
2023-06-26T03:58:00.000Z,7,6
2023-06-26T04:00:00.000Z,5,5
2023-06-26T04:02:00.000Z,6,5
2023-06-26T04:04:00.000Z,6,7
2023-06-26T04:05:00.000Z,4,5
2023-06-26T04:07:00.000Z,6,6
2023-06-26T04:09:00.000Z,4,5
2023-06-26T04:11:00.000Z,6,4
2023-06-26T04:15:00.000Z,5,5
2023-06-26T04:17:00.000Z,5,6
2023-06-26T04:19:00.000Z,5,3
2023-06-26T04:21:00.000Z,4,5
2023-06-26T04:23:00.000Z,6,5
2023-06-26T04:27:00.000Z,4,6
2023-06-26T04:29:00.000Z,5,6
2023-06-26T04:31:00.000Z,5,4
2023-06-26T04:33:00.000Z,5,5
2023-06-26T04:35:00.000Z,5,3
2023-06-26T04:37:00.000Z,4,4
2023-06-26T04:39:00.000Z,4,4
2023-06-26T04:40:00.000Z,4,5
2023-06-26T04:42:00.000Z,5,3
2023-06-26T04:44:00.000Z,5,3
2023-06-26T04:46:00.000Z,6,4
2023-06-26T04:48:00.000Z,4,4
2023-06-26T04:52:00.000Z,5,5
2023-06-26T04:54:00.000Z,5,6
2023-06-26T04:56:00.000Z,6,5
2023-06-26T04:58:00.000Z,5,5
2023-06-26T05:00:00.000Z,6,7
2023-06-26T05:02:00.000Z,7,5
2023-06-26T05:04:00.000Z,6,6
2023-06-26T05:05:00.000Z,5,5
2023-06-26T05:11:00.000Z,6,5
2023-06-26T05:13:00.000Z,6,5
2023-06-26T05:15:00.000Z,7,6
2023-06-26T05:17:00.000Z,5,5
